,Job_URL,Date_Posted,Job_Title,Location
28,https://www.merckgroup.com/en/careers/jobs/271105.html?location=United States&state=Wisconsin&city=Sheboygan Falls&functionalarea=Quality,Posted 12 Jan 2024,Senior Associate Analytical Validation Specialist,"Sheboygan Falls, Wisconsin, United States"
29,https://www.merckgroup.com/en/careers/jobs/271055.html?location=United States&state=Missouri&city=St. Louis&functionalarea=Manufacturing,Posted 12 Jan 2024,Manufacturing Technician 2 - 3rd shift,"St. Louis, Missouri, United States"
30,https://www.merckgroup.com/en/careers/jobs/270994.html?location=Switzerland&state=St. Gallen&city=Buchs&functionalarea=Manufacturing,Posted 12 Jan 2024,Chemiker Prozessentwicklung (m/w/d),"Buchs, St. Gallen, Switzerland"
31,https://www.merckgroup.com/en/careers/jobs/269580.html?location=Uruguay&state=Montevideo&city=Montevideo&functionalarea=Quality,Posted 12 Jan 2024,Jefe de Aseguramiento de Calidad,"Montevideo, Montevideo, Uruguay"
32,https://www.merckgroup.com/en/careers/jobs/270569.html?location=Brazil&state=Sao Paulo&city=Sao Paulo&functionalarea=Commercial,Posted 12 Jan 2024,Propagandista Junior | Belo Horizonte,"Sao Paulo, Sao Paulo, Brazil"
33,https://www.merckgroup.com/en/careers/jobs/271053.html?location=Spain&state=Madrid&city=Tres Cantos&functionalarea=Engineering & Skilled Trade,Posted 12 Jan 2024,Técnico de Calibraciones ( Contrato laboral de prácticas de un año ),"Tres Cantos, Madrid, Spain"
34,https://www.merckgroup.com/en/careers/jobs/271077.html?location=China&state=Shanghai&city=杭州&functionalarea=Commercial,Posted 12 Jan 2024,高级地区经理-广阔市场-嘉兴,"杭州, Shanghai, China"
35,https://www.merckgroup.com/en/careers/jobs/271109.html?location=United Kingdom&state=Vaud&city=Eysins&functionalarea=Research & Development,Posted 12 Jan 2024,"Associate Director, Clinical Trial Lead (m/f/d)","Eysins, Vaud, United Kingdom"
36,https://www.merckgroup.com/en/careers/jobs/270473.html?location=Hong Kong&state=Hong Kong Island&city=Hong Kong&functionalarea=Commercial,Posted 12 Jan 2024,Medical Representative-HK,"Hong Kong, Hong Kong Island, Hong Kong"
37,https://www.merckgroup.com/en/careers/jobs/270466.html?location=China&state=Guangdong&city=Guangzhou&functionalarea=Commercial,Posted 12 Jan 2024,医药代表-生殖-广州,"Guangzhou, Guangdong, China"
